"fips";"county";"party";"STATE";"POPULATION";"DENSITY";"ALL RACES";"WHITE";"BLACK";"NATIVE";"ASIAN";"WHITE+LATINO"
34025;Monmouth;Republican;NJ;629279;1344.7;98.3;84.7;7.7;0.3;5.5;86.2
12086;Miami-Dade;Democrat;FL;2662874;1315.5;98.80000000000001;77.9;18.9;0.3;1.7;81.0
51087;Henrico;Democrat;VA;321924;1313.4;97.80000000000001;59.3;30.1;0.4;7.9;60.4
39153;Summit;Republican;OH;541943;1312.6;97.7;79.9;14.8;0.2;2.8;80.30000000000001
39095;Lucas;Democrat;OH;435286;1296.2;97.3;75.3;19.7;0.4;1.8;76.60000000000001
24003;Anne Arundel;Democrat;MD;560133;1295.9;97.1;76.1;16.6;0.4;3.9;77.4
12095;Orange;Democrat;FL;1253001;1268.5;97.6;69.0;22.2;0.6;5.6;72.5
10003;New Castle;Democrat;DE;552778;1263.2;97.7;67.1;24.9;0.4;5.2;68.9
51690;Martinsville;Democrat;VA;13711;1261.5;97.9;51.4;45.1;0.4;1.0;52.4
47037;Davidson;Democrat;TN;668347;1243.3;97.69999999999999;65.6;28.1;0.5;3.4;66.8
47157;Shelby;Democrat;TN;938803;1215.5;98.69999999999999;42.3;53.3;0.4;2.6;43.2
12057;Hillsborough;Democrat;FL;1316298;1204.9;97.49999999999999;75.3;17.5;0.6;4.0;78.1
51153;Prince William;Democrat;VA;446094;1195.0;95.60000000000001;64.4;21.5;1.1;8.4;67.7
51790;Staunton;Democrat;VA;24538;1188.8;97.3;83.8;12.0;0.3;1.2;84.3
39113;Montgomery;Republican;OH;533116;1159.5;97.39999999999999;74.0;21.1;0.2;2.1;74.5
24027;Howard;Democrat;MD;309284;1144.9;96.4;60.4;18.6;0.4;16.9;61.8
12031;Duval;Democrat;FL;897698;1133.9;97.3;62.0;30.1;0.4;4.7;63.6
36055;Monroe;Democrat;NY;749857;1132.6;97.5;77.3;16.1;0.4;3.6;79.6
29095;Jackson;Democrat;MO;683191;1115.3;97.1;70.4;24.0;0.6;1.8;71.7
51580;Covington;Democrat;VA;5802;1090.2;97.7;83.7;12.8;0.4;0.8;84.0
37183;Wake;Democrat;NC;998691;1078.8;97.6;69.0;21.3;0.8;6.4;71.0
34035;Somerset;Democrat;NJ;332568;1071.7;98.1;71.2;9.9;0.3;16.6;72.9
34027;Morris;Republican;NJ;499727;1069.8;98.19999999999999;84.2;3.6;0.3;10.1;85.3
40143;Tulsa;Republican;OK;629598;1058.1;94.1;73.7;10.8;6.7;2.8;75.5
37129;New Hanover;Republican;NC;216298;1058.1;97.99999999999999;81.3;14.6;0.6;1.4;82.30000000000001
51620;Franklin City;Democrat;VA;8526;1045.8;97.80000000000001;39.2;57.3;0.4;0.9;40.099999999999994
21067;Fayette;Democrat;KY;310797;1042.8;97.49999999999999;78.3;15.0;0.3;3.8;79.2
42017;Bucks;Republican;PA;626685;1034.7;98.49999999999999;89.4;4.1;0.3;4.6;90.2
48453;Travis;Democrat;TX;1151145;1034.4;97.5;80.7;8.9;1.3;6.5;83.6
49011;Davis;Republican;UT;329692;1025.8;97.50000000000001;92.7;1.4;0.7;2.0;93.8
