"county","party","candidate","votes","above_65"
Vance,Democrat,Hillary Clinton,4561,16.4
Wayne,Democrat,Hillary Clinton,163886,13.8
Crawford,Republican,Ted Cruz,3926,15.3
Putnam,Republican,Donald Trump,565,23.6
Clark,Republican,Donald Trump,545,19.1
Crisp,Republican,Donald Trump,1204,16.0
Montmorency,Republican,Donald Trump,1046,29.4
Vernon,Democrat,Bernie Sanders,3476,18.5
Coosa,Republican,Donald Trump,1233,18.5
Williamsburg,Democrat,Hillary Clinton,4609,17.9
Kiowa,Democrat,Hillary Clinton,5,24.1
Benzie,Democrat,Bernie Sanders,1650,23.9
Greene,Republican,Donald Trump,2103,15.0
Hayes,Republican,Donald Trump,103,24.8
Jasper,Democrat,Hillary Clinton,2194,15.4
Knox,Republican,Donald Trump,4918,16.7
Casey,Republican,Donald Trump,1029,18.8
Stanislaus,Republican,Donald Trump,15390,12.1
Braxton,Democrat,Bernie Sanders,1321,20.0
Marion,Democrat,Bernie Sanders,5324,18.1
Franklin,Republican,Donald Trump,3130,19.5
Pontotoc,Republican,Ted Cruz,2498,13.9
Northampton,Democrat,Hillary Clinton,868,24.4
Jackson,Republican,Donald Trump,9934,14.2
Scott,Republican,Donald Trump,3373,16.5
Lamar,Republican,Donald Trump,1810,20.5
Gage,Republican,Donald Trump,1407,20.4
McPherson,Republican,Donald Trump,114,19.9
Effingham,Republican,Ted Cruz,3448,16.8
Gratiot,Democrat,Bernie Sanders,1812,16.4
Buchanan,Republican,Donald Trump,4691,14.6
Hardeman,Democrat,Hillary Clinton,1721,16.3
Lucas,Republican,Ted Cruz,213,21.0
Benewah,Republican,Ted Cruz,671,21.2
Clark,Democrat,Hillary Clinton,1650,16.1
Marshall,Republican,Ted Cruz,1095,21.8
Charles City,Democrat,Hillary Clinton,863,21.3
Jefferson,Democrat,Hillary Clinton,67357,14.3
Van Buren,Democrat,Bernie Sanders,3656,16.0
Greene,Democrat,Hillary Clinton,215,21.4
Starr,Democrat,Hillary Clinton,6918,11.3
Sumter,Democrat,Hillary Clinton,2987,16.3
Marshall,Republican,Donald Trump,9115,16.3
Lexington,Democrat,Hillary Clinton,402,14.1
Cedar,Republican,Donald Trump,775,21.3
Catoosa,Republican,Donald Trump,4449,16.0
Nance,Republican,Donald Trump,310,20.6
Elkhart,Republican,Ted Cruz,16204,13.3
Treutlen,Republican,Donald Trump,437,15.0
Solano,Democrat,Hillary Clinton,31753,13.5
Webster,Republican,Ted Cruz,4124,14.6
Glenn,Republican,Donald Trump,1699,14.9
Douglas,Republican,Ted Cruz,1764,16.3
Perry,Republican,Donald Trump,1561,16.6
Grant,Republican,Donald Trump,5992,17.7
Grenada,Republican,Donald Trump,1727,16.6
Lemhi,Republican,Donald Trump,757,27.3
Louisa,Republican,Donald Trump,261,16.6
Taylor,Republican,Donald Trump,550,18.2
Erie,Democrat,Hillary Clinton,19511,15.8
Craig,Democrat,Bernie Sanders,926,18.7
Washington,Republican,Donald Trump,1739,17.3
Prince William,Democrat,Hillary Clinton,26439,8.3
Sandoval,Democrat,Hillary Clinton,7448,15.1
Perry,Republican,Donald Trump,676,17.2
Alachua,Democrat,Hillary Clinton,17733,12.5
McIntosh,Republican,Donald Trump,1078,21.7
Barry,Republican,Donald Trump,3478,16.9
Union,Democrat,Hillary Clinton,822,18.4
Ford,Republican,Ted Cruz,1281,19.8
Clay,Democrat,Hillary Clinton,297,23.3
Brown,Republican,Donald Trump,2202,21.1
Marlboro,Democrat,Hillary Clinton,2132,15.2
Putnam,Democrat,Bernie Sanders,504,19.8
Lamar,Republican,Donald Trump,1398,16.0
Greenup,Democrat,Bernie Sanders,1655,19.1
Polk,Republican,Ted Cruz,3430,17.1
La Crosse,Democrat,Bernie Sanders,15139,14.8
Iowa,Democrat,Hillary Clinton,357,18.0
Cheyenne,Democrat,Hillary Clinton,5,18.2
Clinton,Republican,Donald Trump,771,18.2
Faulkner,Republican,Ted Cruz,6228,11.2
Petersburg,Democrat,Hillary Clinton,4099,15.3
Cortland,Democrat,Bernie Sanders,1878,15.0
Shelby,Republican,Donald Trump,579,20.6
Converse,Democrat,Bernie Sanders,3,14.1
Clinton,Republican,Donald Trump,2522,16.0
Minnehaha,Democrat,Hillary Clinton,6018,12.2
Archuleta,Democrat,Bernie Sanders,156,22.9
Blount,Republican,Donald Trump,7390,17.0
Leake,Democrat,Hillary Clinton,1614,14.4
Claiborne,Democrat,Hillary Clinton,768,17.5
Edgar,Republican,Donald Trump,1562,20.4
Bath,Democrat,Bernie Sanders,641,16.0
Page,Republican,Ted Cruz,249,20.8
Watauga,Democrat,Bernie Sanders,5811,14.2
Phillips,Republican,Donald Trump,1097,20.5
