county;party;candidate;votes;income
Fayette;Democrat;Hillary Clinton;525;23391
Fayette;Democrat;Hillary Clinton;9184;20884
Fayette;Democrat;Hillary Clinton;20014;29251
Fayette;Republican;Donald Trump;8055;35344
Fayette;Republican;John Kasich;2395;20603
Fentress;Republican;Donald Trump;1418;16454
Fergus;Republican;Donald Trump;1975;24429
Fillmore;Republican;Donald Trump;574;25460
Fisher;Republican;Ted Cruz;306;22709
Fleming;Democrat;Bernie Sanders;806;19304
Florence;Democrat;Hillary Clinton;9411;22432
Floyd;Democrat;Bernie Sanders;4010;17716
Floyd;Democrat;Hillary Clinton;453;24590
Floyd;Republican;Ted Cruz;711;21655
Fluvanna;Democrat;Hillary Clinton;1355;30881
Foard;Democrat;Bernie Sanders;112;20202
Forest;Republican;Donald Trump;597;13646
Forrest;Republican;Donald Trump;4267;19736
Forsyth;Democrat;Hillary Clinton;24446;26541
Forsyth;Republican;Donald Trump;15698;34582
Fort Bend;Republican;Ted Cruz;31422;34084
Fountain;Republican;Donald Trump;2742;23063
Franklin;Democrat;Bernie Sanders;2338;21575
Franklin;Democrat;Bernie Sanders;5398;26243
Franklin;Democrat;Hillary Clinton;226;26102
Franklin;Democrat;Hillary Clinton;650;17752
Franklin;Democrat;Hillary Clinton;665;19843
Franklin;Democrat;Hillary Clinton;4951;21399
Franklin;Republican;Donald Trump;333;26095
Franklin;Republican;Donald Trump;1997;18234
Franklin;Republican;Donald Trump;3130;20394
Franklin;Republican;Donald Trump;3650;24557
Franklin;Republican;Donald Trump;15631;25741
Franklin;Republican;Ted Cruz;1187;17620
Franklin City;Democrat;Hillary Clinton;831;19588
Frederick;Republican;Donald Trump;15076;36917
