"county","party","candidate","votes","households"
Judith Basin,Republican,Donald Trump,421,879
Hart,Democrat,Bernie Sanders,1062,7115
Hempstead,Republican,Ted Cruz,917,8296
Mahoning,Democrat,Hillary Clinton,21000,98201
McCreary,Republican,Donald Trump,725,6312
Ozark,Republican,Donald Trump,1099,4063
Placer,Republican,Donald Trump,25700,132709
Cortland,Democrat,Bernie Sanders,1878,18069
Yellowstone,Republican,Donald Trump,17925,61023
Winneshiek,Democrat,Bernie Sanders,616,8042
Limestone,Republican,Donald Trump,8198,31794
Mason,Democrat,Bernie Sanders,775,6569
Mecosta,Republican,Donald Trump,2113,15536
Orangeburg,Democrat,Hillary Clinton,11819,34180
Montgomery,Democrat,Bernie Sanders,1322,10168
Los Angeles,Democrat,Hillary Clinton,590502,3230383
Pope,Republican,Donald Trump,3073,22603
White,Republican,Donald Trump,1424,6240
Shannon,Republican,Donald Trump,808,3220
Hidalgo,Democrat,Hillary Clinton,40276,217691
Union,Democrat,Hillary Clinton,2548,16596
Somerset,Republican,Donald Trump,1686,8419
Grundy,Republican,Ted Cruz,272,5073
Screven,Republican,Donald Trump,801,5165
Jackson,Democrat,Hillary Clinton,2798,16244
Perkins,Republican,Donald Trump,331,1262
Siskiyou,Republican,Donald Trump,3573,19417
Bremer,Democrat,Hillary Clinton,640,9258
Caswell,Democrat,Hillary Clinton,1701,8813
Monterey,Democrat,Hillary Clinton,17126,125428
Perry,Republican,Donald Trump,1461,7982
Saguache,Democrat,Bernie Sanders,219,2692
Montgomery,Democrat,Bernie Sanders,5090,34789
Duval,Democrat,Hillary Clinton,58632,330897
West Baton Rouge,Democrat,Hillary Clinton,2178,8820
Jefferson,Republican,Donald Trump,1648,4527
Franklin,Democrat,Hillary Clinton,665,4294
Clark,Republican,Donald Trump,545,2749
Grant,Republican,Donald Trump,5992,26981
Goshen,Democrat,Hillary Clinton,3,5255
Lawrence,Republican,Donald Trump,5971,18592
Newton,Republican,Ted Cruz,6452,22045
Taos,Democrat,Bernie Sanders,4325,13338
Clare,Republican,Donald Trump,1996,13215
Washington,Democrat,Hillary Clinton,1663,17599
Stone,Republican,Ted Cruz,1428,5871
Sonoma,Democrat,Hillary Clinton,44923,185660
Choctaw,Republican,Donald Trump,765,3378
Rock,Democrat,Bernie Sanders,17337,63309
Burt,Republican,Donald Trump,603,2899
Perry,Democrat,Hillary Clinton,2575,3400
Allendale,Democrat,Hillary Clinton,1022,3424
Union,Democrat,Bernie Sanders,268,5339
Twin Falls,Republican,Ted Cruz,4717,28166
Graves,Democrat,Bernie Sanders,2631,14419
Marion,Democrat,Hillary Clinton,1162,7368
Peach,Democrat,Hillary Clinton,1675,9525
Carter,Republican,Donald Trump,623,2426
Irwin,Republican,Donald Trump,869,3277
Pottawatomie,Democrat,Bernie Sanders,3400,25658
Butler,Republican,Donald Trump,564,5124
Jessamine,Democrat,Bernie Sanders,2113,18012
Wake,Democrat,Hillary Clinton,77927,348627
Chilton,Republican,Donald Trump,5273,16232
Lake,Republican,Donald Trump,26393,117250
Phillips,Republican,Donald Trump,1097,1800
Houston,Republican,Donald Trump,7091,52330
Lake,Republican,Donald Trump,2927,11829
San Francisco,Democrat,Hillary Clinton,85070,345344
Adams,Republican,Ted Cruz,3851,12127
Webster,Democrat,Bernie Sanders,1169,5150
Allegany,Republican,Donald Trump,6272,28433
Custer,Republican,Donald Trump,430,1870
Calhoun,Democrat,Bernie Sanders,803,3141
Ziebach,Democrat,Bernie Sanders,132,803
Blount,Republican,Donald Trump,7390,21108
Clinton,Democrat,Bernie Sanders,1234,20008
Phelps,Republican,Donald Trump,963,3808
Calhoun,Republican,Donald Trump,1323,5944
Fulton,Democrat,Bernie Sanders,2537,14610
Macon,Democrat,Hillary Clinton,977,4887
Cascade,Republican,Donald Trump,8129,33430
Pickens,Democrat,Hillary Clinton,2326,7926
Antrim,Republican,Donald Trump,1969,9731
Jerauld,Democrat,Hillary Clinton,96,882
Butler,Democrat,Hillary Clinton,2196,8235
Meriwether,Democrat,Hillary Clinton,1463,8135
Lincoln,Republican,Ted Cruz,276,1617
LaGrange,Republican,Donald Trump,2571,11833
Floyd,Democrat,Hillary Clinton,453,7007
Gage,Republican,Donald Trump,1407,9133
Kemper,Democrat,Hillary Clinton,1008,3605
Weston,Democrat,Hillary Clinton,1,2975
Refugio,Democrat,Hillary Clinton,549,2818
Fallon,Republican,Donald Trump,734,1199
Day,Democrat,Hillary Clinton,343,2511
Duval,Democrat,Hillary Clinton,2272,3901
Franklin,Democrat,Bernie Sanders,5398,21058
Plaquemines,Republican,Donald Trump,705,8615
Clinton,Republican,Donald Trump,771,3960
Spencer,Democrat,Bernie Sanders,806,6230
Hardin,Republican,Ted Cruz,417,7061
Bibb,Democrat,Hillary Clinton,12944,56585
Wilcox,Democrat,Hillary Clinton,3337,3866
Warrick,Republican,Donald Trump,7450,22454
Winchester,Democrat,Hillary Clinton,949,10393
Cedar,Republican,Donald Trump,775,3529
Lee,Republican,Donald Trump,51659,241531
Marlboro,Democrat,Hillary Clinton,2132,9779
Johnson,Republican,Donald Trump,3035,20092
Bollinger,Republican,Donald Trump,1272,4758
Big Horn,Democrat,Bernie Sanders,2,4462
Amador,Republican,Donald Trump,3605,14262
Miami-Dade,Democrat,Hillary Clinton,129467,828031
La Plata,Democrat,Bernie Sanders,1466,20947
Greeley,Republican,Donald Trump,125,1011
Loudoun,Democrat,Hillary Clinton,21171,106997
Powell,Republican,Donald Trump,818,2411
Franklin,Republican,Donald Trump,3487,8551
St. Mary,Democrat,Hillary Clinton,1995,20092
Iberville,Democrat,Hillary Clinton,3699,11192
Osceola,Republican,Donald Trump,1812,8987
Bradley,Republican,Donald Trump,770,4789
Pontotoc,Democrat,Bernie Sanders,2392,14793
Winnebago,Democrat,Bernie Sanders,230,4591
Lafayette,Democrat,Hillary Clinton,443,2722
Putnam,Republican,Donald Trump,5119,28047
Washington,Democrat,Hillary Clinton,1741,7119
Chambers,Democrat,Hillary Clinton,2899,13722
Washtenaw,Democrat,Bernie Sanders,38063,135800
Houghton,Democrat,Bernie Sanders,2039,14029
Carroll,Republican,Donald Trump,1133,3757
Vermilion,Republican,Donald Trump,1460,21765
